#,Date-Time (French Polynesia Standard Time),Ch:1 - Hot_sump   (°C),Chan 1 Alarm Tripped,Host Connected,Chan 1 Alarm Cleared,Button Down,Button Up,End of File
480,06/15/2023 21:28:45,29.13,,,,,,
481,06/15/2023 21:38:45,29.04,,,,,,
482,06/15/2023 21:48:45,29.04,,,,,,
483,06/15/2023 21:58:45,29.08,,,,,,
484,06/15/2023 22:08:45,29.04,,,,,,
485,06/15/2023 22:18:45,29.08,,,,,,
486,06/15/2023 22:28:45,29.04,,,,,,
487,06/15/2023 22:38:45,29.04,,,,,,
488,06/15/2023 22:48:45,29.04,,,,,,
489,06/15/2023 22:58:45,29.08,,,,,,
490,06/15/2023 23:08:45,29.04,,,,,,
491,06/15/2023 23:18:45,29.04,,,,,,
492,06/15/2023 23:28:45,29.00,,,,,,
493,06/15/2023 23:38:45,29.08,,,,,,
494,06/15/2023 23:48:45,29.00,,,,,,
495,06/15/2023 23:58:45,29.04,,,,,,
496,06/16/2023 00:08:45,29.04,,,,,,
497,06/16/2023 00:18:45,29.00,,,,,,
498,06/16/2023 00:28:45,28.95,,,,,,
499,06/16/2023 00:38:45,29.08,,,,,,
500,06/16/2023 00:48:45,29.04,,,,,,
501,06/16/2023 00:58:45,29.00,,,,,,
502,06/16/2023 01:08:45,29.04,,,,,,
503,06/16/2023 01:18:45,29.04,,,,,,
504,06/16/2023 01:28:45,29.00,,,,,,
505,06/16/2023 01:38:45,29.08,,,,,,
506,06/16/2023 01:48:45,29.04,,,,,,
507,06/16/2023 01:58:45,29.00,,,,,,
508,06/16/2023 02:08:45,29.00,,,,,,
509,06/16/2023 02:18:45,29.00,,,,,,
510,06/16/2023 02:28:45,29.04,,,,,,
511,06/16/2023 02:38:45,29.00,,,,,,
512,06/16/2023 02:48:45,29.04,,,,,,
513,06/16/2023 02:58:45,28.95,,,,,,
514,06/16/2023 03:08:45,29.00,,,,,,
515,06/16/2023 03:18:45,28.91,,,,,,
516,06/16/2023 03:28:45,28.95,,,,,,
517,06/16/2023 03:38:45,28.95,,,,,,
518,06/16/2023 03:48:45,28.95,,,,,,
519,06/16/2023 03:58:45,28.91,,,,,,
520,06/16/2023 04:08:45,28.95,,,,,,
521,06/16/2023 04:18:45,28.91,,,,,,
522,06/16/2023 04:28:45,28.87,,,,,,
523,06/16/2023 04:38:45,28.95,,,,,,
524,06/16/2023 04:48:45,28.87,,,,,,
525,06/16/2023 04:58:45,28.91,,,,,,
526,06/16/2023 05:08:45,28.91,,,,,,
527,06/16/2023 05:18:45,28.87,,,,,,
528,06/16/2023 05:28:45,28.87,,,,,,
529,06/16/2023 05:38:45,28.87,,,,,,
530,06/16/2023 05:48:45,28.83,,,,,,
531,06/16/2023 05:58:45,28.87,,,,,,
532,06/16/2023 06:08:45,28.87,,,,,,
533,06/16/2023 06:18:45,28.91,,,,,,
534,06/16/2023 06:28:45,28.91,,,,,,
535,06/16/2023 06:38:45,29.00,,,,,,
536,06/16/2023 06:48:45,29.00,,,,,,
537,06/16/2023 06:58:45,29.04,,,,,,
538,06/16/2023 07:08:45,29.08,,,,,,
539,06/16/2023 07:18:45,29.17,,,,,,
540,06/16/2023 07:28:45,29.13,,,,,,
541,06/16/2023 07:38:45,29.13,,,,,,
542,06/16/2023 07:48:45,29.21,,,,,,
